,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
8630,8630,"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, rib, frozen, imported, New Zealand",100 g,317,26g,13g,99mg,19.86 g,1.194 g,1.180 g,1.748 g,0.237 g,2.882 g,0.970 g,0.629 g,0,0.958 g,1.545 g,1.754 g,0.510 g,0.808 g,0.833 g,0.738 g,0.850 g,0.232 g,0.667 g,1.072 g,0.00 g,0.0 g,0,0,0,0,0,0,0,25.74 g,12.820 g,9.930 g,1.190 g,99.00 mg,52.47 g
3884,3884,"Candies, made with butter, semisweet chocolate",100 g,477,30g,18g,18mg,4.20 g,0.196 g,0.240 g,0.422 g,0.052 g,0.637 g,0.190 g,0.073 g,0,0.164 g,0.257 g,0.212 g,0.044 g,0.204 g,0.181 g,0.183 g,0.168 g,0.063 g,0.159 g,0.254 g,63.40 g,5.9 g,0,0,0,0,0,0,0,29.70 g,17.530 g,9.930 g,0.950 g,18.00 mg,0.70 g
2171,2171,"Frankfurter, unheated, meat and poultry",100 g,277,24g,7.6g,78mg,9.72 g,0.612 g,0.631 g,0.861 g,0.129 g,1.427 g,0.656 g,0.281 g,0.228 g,0.400 g,0.736 g,0.718 g,0.235 g,0.359 g,0.692 g,0.405 g,0.350 g,0.106 g,0.285 g,0.455 g,5.02 g,0.0 g,2.75 g,0.00 g,0.00 g,2.45 g,0.00 g,0.30 g,0.00 g,24.18 g,7.583 g,9.929 g,5.386 g,78.00 mg,57.58 g
8700,8700,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak/roast",100 g,260,21g,9.3g,70mg,17.92 g,1.108 g,1.210 g,1.731 g,0.180 g,2.915 g,0.884 g,0.660 g,0.122 g,0.833 g,1.531 g,1.695 g,0.483 g,0.715 g,0.799 g,0.732 g,0.840 g,0.201 g,0.663 g,0.895 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,20.96 g,9.265 g,9.929 g,0.921 g,70.00 mg,60.35 g
7754,7754,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, roast, tenderloin",100 g,316,24g,9.4g,85mg,23.90 g,1.442 g,1.511 g,2.184 g,0.268 g,3.591 g,1.304 g,0.818 g,0,1.075 g,1.889 g,1.989 g,0.612 g,0.933 g,1.056 g,0.914 g,1.044 g,0.268 g,0.803 g,1.163 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,23.70 g,9.380 g,9.920 g,0.960 g,85.00 mg,48.86 g
3464,3464,"Snacks, baked, restructured, white, potato chips",100 g,469,18g,2.6g,0,5.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40 g,4.8 g,5.01 g,0,0,0,0,0,0,18.20 g,2.631 g,9.910 g,4.234 g,0.00 mg,1.40 g
245,245,"Spices, fennel seed",100 g,345,15g,0.5g,0,15.80 g,0.789 g,0.680 g,1.833 g,0.222 g,2.956 g,1.107 g,0.331 g,0,0.695 g,0.996 g,0.758 g,0.301 g,0.647 g,0.900 g,0.900 g,0.602 g,0.253 g,0.410 g,0.915 g,52.29 g,39.8 g,0,0,0,0,0,0,0,14.87 g,0.480 g,9.910 g,1.690 g,0.00 mg,8.81 g
4507,4507,"MURRAY, Chocolate Chip & Pecan Cookies, SUGAR FREE",100 g,497,31g,9.6g,7mg,6.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.60 g,5.1 g,1.50 g,0,0,0,0,0,0,31.40 g,9.600 g,9.900 g,9.800 g,7.00 mg,3.20 g
6964,6964,"Infant formula, with ARA and DHA, powder, with iron, LIPIL, ENFAMIL, MEAD JOHNSON",100 g,511,27g,11g,17mg,10.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.20 g,0.0 g,56.00 g,0,0,0,56.00 g,0,0,27.00 g,11.221 g,9.899 g,5.240 g,17.00 mg,3.30 g
1716,1716,"Snacks, rice-based, oriental mix",100 g,506,26g,3.8g,0,17.31 g,0.745 g,2.103 g,2.161 g,0.254 g,4.109 g,1.081 g,0.473 g,0,0.675 g,1.240 g,0.681 g,0.247 g,0.972 g,0.945 g,0.929 g,0.640 g,0.192 g,0.743 g,0.797 g,51.62 g,13.2 g,3.00 g,0,0,0,0,0,0,25.58 g,3.785 g,9.860 g,10.643 g,0.00 mg,2.55 g
