,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
1382,1382,"Puddings, instant, dry mix, vanilla",100 g,377,0.6g,0.4g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.90 g,0.0 g,92.90 g,0,0,0,0,0,0,0.60 g,0.432 g,0.120 g,0.010 g,0.00 mg,2.60 g
2976,2976,"Sweeteners, powder, dry, fructose, tabletop",100 g,368,0g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00 g,0.0 g,92.70 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.00 g
5376,5376,"Beverages, powder, breakfast type, orange-flavor drink",100 g,386,0g,0g,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.94 g,0.4 g,92.31 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.14 g
5010,5010,"Lemonade, prepared with water, white, frozen concentrate",100 g,40,0g,0g,0,0.07 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42 g,0.0 g,9.98 g,0,0,0,0,0,0,0.04 g,0.006 g,0.002 g,0.013 g,0.00 mg,89.35 g
7349,7349,"Pineapple juice, with added ascorbic acid, unsweetened, canned or bottled",100 g,53,0.1g,0g,0,0.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87 g,0.2 g,9.98 g,3.81 g,0.00 g,4.65 g,0.00 g,0.00 g,1.53 g,0.12 g,0.008 g,0.014 g,0.042 g,0.00 mg,86.37 g
7894,7894,"Pineapple juice, C and E, with added vitamins A, unsweetened, not from concentrate, canned",100 g,50,0.1g,0g,0,0.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18 g,0.2 g,9.98 g,3.81 g,0.00 g,4.65 g,0.00 g,0.00 g,1.53 g,0.14 g,0.000 g,0,0,0.00 mg,87.06 g
7194,7194,"Pineapple juice, without added ascorbic acid, unsweetened, canned or bottled",100 g,53,0.1g,0g,0,0.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87 g,0.2 g,9.98 g,3.81 g,0.00 g,4.65 g,0.00 g,0.00 g,1.53 g,0.12 g,0.008 g,0.014 g,0.042 g,0.00 mg,86.37 g
425,425,"Blueberries, raw",100 g,57,0.3g,0g,0,0.74 g,0.031 g,0.037 g,0.057 g,0.008 g,0.091 g,0.031 g,0.011 g,0,0.023 g,0.044 g,0.013 g,0.012 g,0.026 g,0.028 g,0.022 g,0.020 g,0.003 g,0.009 g,0.031 g,14.49 g,2.4 g,9.96 g,4.97 g,0.00 g,4.88 g,0.00 g,0.00 g,0.11 g,0.33 g,0.028 g,0.047 g,0.146 g,0.00 mg,84.21 g
7399,7399,"Juice, with added ascorbic acid and calcium, grape and pear blend, apple",100 g,52,0.1g,0g,0,0.17 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96 g,0.2 g,9.95 g,5.89 g,0.00 g,3.50 g,0.00 g,0.00 g,0.55 g,0.12 g,0.021 g,0.005 g,0.040 g,0.00 mg,86.44 g
4867,4867,"Cheese, fat-free, cheddar or American, pasteurized process",100 g,148,0.8g,0.5g,11mg,22.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.40 g,0.0 g,9.95 g,0,0,0,0,0,0,0.80 g,0.504 g,0.229 g,0.025 g,11.00 mg,56.90 g
